Ticker,Sector,Exchange
AAT,Bán lẻ - Hàng tiêu dùng,HOSE
ABR,Bán lẻ - Hàng tiêu dùng,HOSE
BTT,Bán lẻ - Hàng tiêu dùng,HOSE
CMV,Bán lẻ - Hàng tiêu dùng,HOSE
COM,Bán lẻ - Hàng tiêu dùng,HOSE
CTF,Bán lẻ - Hàng tiêu dùng,HOSE
DGW,Bán lẻ - Hàng tiêu dùng,HOSE
FRT,Bán lẻ - Hàng tiêu dùng,HOSE
HAX,Bán lẻ - Hàng tiêu dùng,HOSE
MSN,Bán lẻ - Hàng tiêu dùng,HOSE
MWG,Bán lẻ - Hàng tiêu dùng,HOSE
PET,Bán lẻ - Hàng tiêu dùng,HOSE
PIT,Bán lẻ - Hàng tiêu dùng,HOSE
PNJ,Bán lẻ - Hàng tiêu dùng,HOSE
SFC,Bán lẻ - Hàng tiêu dùng,HOSE
PSD,Bán lẻ - Hàng tiêu dùng,HNX
TMC,Bán lẻ - Hàng tiêu dùng,HNX
VTJ,Bán lẻ - Hàng tiêu dùng,HNX
CLX,Bán lẻ - Hàng tiêu dùng,UPCOM
MCH,Bán lẻ - Hàng tiêu dùng,UPCOM
PIV,Bán lẻ - Hàng tiêu dùng,UPCOM
SID,Bán lẻ - Hàng tiêu dùng,UPCOM
TOP,Bán lẻ - Hàng tiêu dùng,UPCOM
ICT,Bưu chính - Viễn thông,HOSE
SAM,Bưu chính - Viễn thông,HOSE
SGT,Bưu chính - Viễn thông,HOSE
PIA,Bưu chính - Viễn thông,HNX
POT,Bưu chính - Viễn thông,HNX
EMS,Bưu chính - Viễn thông,UPCOM
PAI,Bưu chính - Viễn thông,UPCOM
TTN,Bưu chính - Viễn thông,UPCOM
VGI,Bưu chính - Viễn thông,UPCOM
BIC,Bảo hiểm,HOSE
BMI,Bảo hiểm,HOSE
BVH,Bảo hiểm,HOSE
MIG,Bảo hiểm,HOSE
PGI,Bảo hiểm,HOSE
PRE,Bảo hiểm,HNX
PTI,Bảo hiểm,HNX
PVI,Bảo hiểm,HNX
VNR,Bảo hiểm,HNX
ABI,Bảo hiểm,UPCOM
AIC,Bảo hiểm,UPCOM
BLI,Bảo hiểm,UPCOM
BRC,Cao su,HOSE
CSM,Cao su,HOSE
DPR,Cao su,HOSE
DRC,Cao su,HOSE
GVR,Cao su,HOSE
HRC,Cao su,HOSE
PHR,Cao su,HOSE
TNC,Cao su,HOSE
TRC,Cao su,HOSE
BRR,Cao su,UPCOM
CDR,Cao su,UPCOM
DRG,Cao su,UPCOM
DRI,Cao su,UPCOM
HNG,Cao su,UPCOM
RBC,Cao su,UPCOM
RCD,Cao su,UPCOM
RTB,Cao su,UPCOM
VHG,Cao su,UPCOM
VRG,Cao su,UPCOM
AGR,Chứng khoán,HOSE
APG,Chứng khoán,HOSE
BSI,Chứng khoán,HOSE
CTS,Chứng khoán,HOSE
DSC,Chứng khoán,HOSE
DSE,Chứng khoán,HOSE
FTS,Chứng khoán,HOSE
HCM,Chứng khoán,HOSE
SSI,Chứng khoán,HOSE
TVS,Chứng khoán,HOSE
VCI,Chứng khoán,HOSE
VDS,Chứng khoán,HOSE
VIX,Chứng khoán,HOSE
VND,Chứng khoán,HOSE
APS,Chứng khoán,HNX
ART,Chứng khoán,HNX
BVS,Chứng khoán,HNX
EVS,Chứng khoán,HNX
HBS,Chứng khoán,HNX
IVS,Chứng khoán,HNX
MBS,Chứng khoán,HNX
PSI,Chứng khoán,HNX
SHS,Chứng khoán,HNX
VIG,Chứng khoán,HNX
WSS,Chứng khoán,HNX
BMS,Chứng khoán,UPCOM
CMG,Công nghệ thông tin,HOSE
ELC,Công nghệ thông tin,HOSE
FPT,Công nghệ thông tin,HOSE
ITD,Công nghệ thông tin,HOSE
CKV,Công nghệ thông tin,HNX
KST,Công nghệ thông tin,HNX
ONE,Công nghệ thông tin,HNX
SRA,Công nghệ thông tin,HNX
UNI,Công nghệ thông tin,HNX
CMT,Công nghệ thông tin,UPCOM
HIG,Công nghệ thông tin,UPCOM
HPT,Công nghệ thông tin,UPCOM
VEC,Công nghệ thông tin,UPCOM
VTE,Công nghệ thông tin,UPCOM
DAH,Du lịch,HOSE
DSN,Du lịch,HOSE
HAX,Du lịch,HOSE
HVN,Du lịch,HOSE
NVT,Du lịch,HOSE
SCS,Du lịch,HOSE
